framework,iteration,reward_mean,reward_std,reward_rolling
eqmarl,492,19.2,2.891366458960192,17.830000000000005
eqmarl,493,17.4,4.454211490264017,17.69
eqmarl,494,16.9,4.805205510693586,17.650000000000002
eqmarl,495,15.9,5.374941860150675,17.320000000000004
eqmarl,496,19.2,3.789459064299283,17.69
eqmarl,497,18.2,3.9698866482558413,17.79
eqmarl,498,17.8,5.035871324805669,17.88
eqmarl,499,18.8,4.354308211415448,17.9
eqmarl,500,16.7,3.3778691508109073,17.79
eqmarl,501,18.9,4.52658811910251,17.900000000000002
eqmarl,502,18.8,3.944616584663204,17.86
eqmarl,503,17.9,3.3000000000000003,17.91
eqmarl,504,17.8,3.789459064299283,18.000000000000004
eqmarl,505,18.9,3.9102429592034307,18.300000000000004
eqmarl,506,18.8,4.955804677345546,18.26
eqmarl,507,19.0,3.6606010435446255,18.34
eqmarl,508,16.8,2.9257477676655586,18.240000000000002
eqmarl,509,18.4,3.411744421846396,18.200000000000003
eqmarl,510,19.6,4.029888335921977,18.490000000000002
eqmarl,511,17.7,4.495553358597805,18.37
eqmarl,512,18.0,3.1937438845342623,18.290000000000003
eqmarl,513,17.7,5.330103188494572,18.27
eqmarl,514,16.9,2.773084924772409,18.180000000000003
eqmarl,515,19.6,2.690724809414742,18.250000000000004
eqmarl,516,18.9,2.5079872407968904,18.26
eqmarl,517,19.2,4.445222154178573,18.28
eqmarl,518,17.5,4.2485291572496005,18.35
eqmarl,519,19.0,3.1304951684997055,18.41
eqmarl,520,18.1,4.742362280551751,18.259999999999998
eqmarl,521,18.1,3.419064199455752,18.299999999999997
eqmarl,522,17.3,4.026164427839479,18.23
eqmarl,523,19.1,2.343074902771996,18.37
eqmarl,524,18.9,3.1764760348537178,18.57
